combo,mho_f1,hybrid_f1,delta,mho_acc,hybrid_acc
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Modbus.csv",0.2897196261682243,0.02631578947368421,0.26340383669454004,0.6622222222222223,0.8355555555555556
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.23383084577114427,0.0,0.23383084577114427,0.31555555555555553,0.8466666666666667
"IoT_Fridge.csv,IoT_Weather.csv,IoT_Modbus.csv",0.2755344418052256,0.10526315789473684,0.1702712839104888,0.32222222222222224,0.8111111111111111
"IoT_Weather.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.2894736842105263,0.1317365269461078,0.15773715726441853,0.76,0.6777777777777778
"IoT_Motion_Light.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.30939226519337015,0.16666666666666666,0.1427255985267035,0.7222222222222222,0.7555555555555555
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.13043478260869565,0.0,0.13043478260869565,0.7333333333333333,0.8644444444444445
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.29721362229102166,0.16901408450704225,0.1281995377839794,0.4955555555555556,0.7377777777777778
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.11891891891891893,0.0,0.11891891891891893,0.6377777777777778,0.8644444444444445
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.20958083832335328,0.15053763440860216,0.059043203914751125,0.41333333333333333,0.8244444444444444
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.30303030303030304,0.2535211267605634,0.04950917626973966,0.33555555555555555,0.29333333333333333
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",0.23093681917211328,0.18181818181818182,0.04911863735393146,0.21555555555555556,0.82
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Thermostat.csv",0.33620689655172414,0.29295774647887324,0.043249150072850906,0.6577777777777778,0.44222222222222224
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.3364485981308411,0.3106267029972752,0.02582189513356592,0.8422222222222222,0.43777777777777777
"IoT_Fridge.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.2848297213622291,0.2710843373493976,0.01374538401283154,0.4866666666666667,0.4622222222222222
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Weather.csv",0.19318181818181818,0.17964071856287425,0.013541099618943925,0.6844444444444444,0.6955555555555556
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_GPS_Tracker.csv",0.2880658436213992,0.27807486631016043,0.009990977311238769,0.6155555555555555,0.4
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_Modbus.csv",0.2868217054263566,0.2824427480916031,0.004378957334753519,0.5911111111111111,0.5822222222222222
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Weather.csv",0.29850746268656714,0.2958579881656805,0.002649474520886652,0.7911111111111111,0.7355555555555555
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Modbus.csv",0.28629856850715746,0.2857142857142857,0.0005842827928717598,0.22444444444444445,0.7777777777777778
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",0.2421875,0.24330900243309003,-0.0011215024330900325,0.13777777777777778,0.3088888888888889
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",0.3261802575107296,0.34513274336283184,-0.01895248585210224,0.6511111111111111,0.6711111111111111
"IoT_Thermostat.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.23776223776223776,0.2608695652173913,-0.023107327455153537,0.7577777777777778,0.2822222222222222
"IoT_Fridge.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.22839506172839505,0.27053140096618356,-0.042136339237788506,0.4444444444444444,0.6644444444444444
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.29411764705882354,0.3364485981308411,-0.042330951072017564,0.36,0.8422222222222222
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Weather.csv",0.2802197802197802,0.327683615819209,-0.047463835599428794,0.4177777777777778,0.7355555555555555
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.16091954022988506,0.2184873949579832,-0.05756785472809814,0.8377777777777777,0.5866666666666667
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_Modbus.csv",0.11650485436893204,0.18532818532818532,-0.06882333095925328,0.7977777777777778,0.5311111111111111
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Modbus.csv",0.25806451612903225,0.32926829268292684,-0.0712037765538946,0.7955555555555556,0.5111111111111111
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_Modbus.csv",0.2556390977443609,0.328125,-0.07248590225563911,0.34,0.8088888888888889
"IoT_Garage_Door.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.3187250996015936,0.4025157232704403,-0.08379062366884665,0.62,0.5777777777777777
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.24561403508771928,0.37373737373737376,-0.12812333864965447,0.5222222222222223,0.7244444444444444
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.04040404040404041,0.18,-0.13959595959595958,0.7888888888888889,0.8177777777777778
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",0.16666666666666666,0.35514018691588783,-0.18847352024922118,0.8,0.8466666666666667
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.13793103448275862,0.3333333333333333,-0.1954022988505747,0.7777777777777778,0.84
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Motion_Light.csv",0.02666666666666667,0.25250501002004005,-0.22583834335337338,0.8377777777777777,0.1711111111111111
